"cohort","age","period","window_end_period","loans_at_risk","defaults_3m","rd3m","q","y_logit","mu","residual_after_mean","age_effect","residual_after_age","cohort_effect","residual_after_cohort","period_effect","residual_after_period","fitted_logit","fitted_rd3m","reconstructed_q","risk_base","risk_after_age","risk_after_cohort","risk_after_period","contribution_age","contribution_cohort","contribution_period","contribution_residual","reconstructed_rd3m"
"2018-01-01",1,"2018-02-01","2018-04-01",1202,3,0.00249584026622296,0.0029093931837074,-5.83689711378438,-3.80673473380674,-2.03016237997764,-1.7073653881347,-0.322796991842942,-0.903694064077654,0.580897072234713,0.580897072234713,0,-5.83689711378438,0.0029093931837074,0.0029093931837074,0.0217375941071289,0.00401337969127483,0.0016295928053264,0.0029093931837074,-0.0177242144158541,-0.00238378688594843,0.001279800378381,-0.000413552917484436,0.00249584026622296
"2018-01-01",2,"2018-03-01","2018-05-01",1168,6,0.00513698630136986,0.00556030795551754,-5.18652596055992,-3.80673473380674,-1.37979122675318,-0.802500335743768,-0.577290891009411,-0.903694064077654,0.326403173068243,-0.396507150136696,0.722910323204939,-5.90943628376486,0.00270637189686295,0.00556030795551753,0.0217375941071289,0.00986122148763851,0.00401806317023154,0.00270637189686295,-0.0118763726194904,-0.00584315831740697,-0.00131169127336859,0.00243061440450691,0.00513698630136986
"2018-01-01",3,"2018-04-01","2018-06-01",1110,9,0.00810810810810811,0.00855085508550855,-4.7531363676359,-3.80673473380674,-0.946401633829161,-0.337459829206784,-0.608941804622378,-0.903694064077654,0.294752259455277,0.27505240061418,0.0196998588410964,-4.772836226477,0.00838545154440016,0.00855085508550855,0.0217375941071289,0.0156087071675435,0.00638189011947489,0.00838545154440016,-0.00612888693958539,-0.00922681704806866,0.00200356142492527,-0.000277343436292052,0.00810810810810811
"2018-01-01",4,"2018-05-01","2018-07-01",1066,7,0.00656660412757974,0.007029053420806,-4.95064935716609,-3.80673473380674,-1.14391462335935,-0.182480278425218,-0.96143434493413,-0.903694064077654,-0.0577402808564754,-0.0687089727953612,0.0109686919388857,-4.96161804910497,0.00695290833454481,0.007029053420806,0.0217375941071289,0.0181776956171205,0.00744374893302957,0.00695290833454481,-0.00355989849000843,-0.0107339466840909,-0.00049084059848476,-0.000386304206965075,0.00656660412757974
"2018-01-01",5,"2018-06-01","2018-08-01",1013,4,0.00394866732477789,0.00443786982248521,-5.41313304097662,-3.80673473380674,-1.60639830716988,-0.110329660461367,-1.49606864670851,-0.903694064077654,-0.592374582630855,-0.438695231395139,-0.153679351235716,-5.2594536897409,0.00517126277516049,0.00443786982248521,0.0217375941071289,0.019511164970081,0.00799621626706322,0.00517126277516049,-0.00222642913704798,-0.0115149487030177,-0.00282495349190272,-0.00122259545038261,0.00394866732477789
"2018-01-01",6,"2018-07-01","2018-09-01",961,2,0.00208116545265349,0.0025987525987526,-5.9501215835736,-3.80673473380674,-2.14338684976686,-0.00462210480800024,-2.13876474495886,-0.903694064077654,-1.2350706808812,-0.410162795844821,-0.824907885036383,-5.12521369853722,0.00590981326883712,0.0025987525987526,0.0217375941071289,0.0216395216911312,0.00887985176450785,0.00590981326883712,-9.8072415997727e-05,-0.0127596699266234,-0.00297003849567073,-0.00382864781618364,0.00208116545265349
"2018-01-01",7,"2018-08-01","2018-10-01",927,2,0.00215749730312837,0.00269396551724138,-5.9140434001394,-3.80673473380674,-2.10730866633266,0.0795860484344686,-2.18689471476712,-0.903694064077654,-1.28320065068947,-0.298646245234361,-0.98455440545511,-4.92948899468429,0.0071782965087134,0.00269396551724138,0.0217375941071289,0.0234959992497771,0.0096524636080249,0.0071782965087134,0.00175840514264819,-0.0138435356417522,-0.0024741670993115,-0.00502079920558502,0.00215749730312837
"2018-01-01",8,"2018-09-01","2018-11-01",904,3,0.00331858407079646,0.00386740331491713,-5.551297074148,-3.80673473380674,-1.74456234034126,0.14017796756865,-1.88474030790991,-0.903694064077654,-0.981046243832259,-0.4410899632397,-0.539956280592559,-5.01134079355545,0.00661787693118587,0.00386740331491713,0.0217375941071289,0.0249270977186229,0.0102492274926932,0.00661787693118587,0.00318950361149392,-0.0146778702259297,-0.00363135056150734,-0.00329929286038941,0.00331858407079646
"2018-01-01",9,"2018-10-01","2018-12-01",866,4,0.0046189376443418,0.00519031141868512,-5.25575775212924,-3.80673473380674,-1.4490230183225,0.188722894148899,-1.6377459124714,-0.903694064077654,-0.734051848393744,-0.178129695122228,-0.555922153271516,-4.69983559885773,0.00901476721210377,0.00519031141868512,0.0217375941071289,0.026134629384257,0.0107535676092608,0.00901476721210377,0.00439703527712805,-0.0153810617749961,-0.00173880039715708,-0.00439582956776196,0.0046189376443418
"2018-01-01",10,"2018-11-01","2019-01-01",842,8,0.00950118764845606,0.0100830367734282,-4.58676657960562,-3.80673473380674,-0.780031845798877,0.249100324734697,-1.02913217053357,-0.903694064077654,-0.12543810645592,-0.0438615305362023,-0.0815765759197181,-4.5051900036859,0.0109306897532061,0.0100830367734282,0.0217375941071289,0.0277160988991316,0.0114152017118345,0.0109306897532061,0.00597850479200264,-0.0163008971872971,-0.000484511958628357,-0.00142950210475006,0.00950118764845606
